    130 Motacillidae (Wagtails and Pipits)
    136 Monarchidae (Monarch Flycatchers)
    144 Procellariidae (Shearwaters and Petrels)
    146 Hirundinidae (Swallows)
    147 Sturnidae (Starlings)
    147 "Zosteropidae (White-eyes
    148 Alaudidae (Larks)
    152 Apodidae (Swifts)
    154 Ploceidae (Weavers and Allies)
    158 Scolopacidae (Sandpipers and Allies)
    161 Alcedinidae (Kingfishers)
    165 Troglodytidae (Wrens)
    166 Icteridae (Troupials and Allies)
    171 Leiothrichidae (Laughingthrushes and Allies)
    176 Estrildidae (Waxbills and Allies)
    190 "Corvidae (Crows
    190 Nectariniidae (Sunbirds and Spiderhunters)
    200 Pycnonotidae (Bulbuls)
    203 "Rallidae (Rails
    206 Cuculidae (Cuckoos)
    208 Meliphagidae (Honeyeaters)
    209 "Laridae (Gulls
    222 Cisticolidae (Cisticolas and Allies)
    226 Psittaculidae (Old World Parrots)
    228 Parulidae (New World Warblers)
    240 "Phasianidae (Pheasants
    251 Psittacidae (New World and African Parrots)
    295 Turdidae (Thrushes and Allies)
    298 Thamnophilidae (Typical Antbirds)
    318 Emberizidae (Buntings and New World Sparrows)
    318 Strigidae (Owls)
    325 "Fringillidae (Finches
    364 "Anatidae (Ducks
    370 Picidae (Woodpeckers)
    386 "Accipitridae (Hawks
    425 Columbidae (Pigeons and Doves)
    452 Furnariidae (Ovenbirds and Woodcreepers)
    457 Muscicapidae (Old World Flycatchers)
    472 Trochilidae (Hummingbirds)
    505 Thraupidae (Tanagers and Allies)
    617 Tyrannidae (Tyrant Flycatchers)
